Survivor,Nonsurvivor
9.80,8.30
8.50,7.50
10.30,8.00
9.90,10.60
8.80,11.20
10.10,9.10
8.20,9.50
8.00,10.50
8.90,8.40
9.10,8.60
9.80,9.20
10.10,8.80
8.55,8.50
9.30,8.00
10.00,9.70
10.70,8.40
9.10,7.90
8.80,9.30
10.40,7.70
10.70,8.50
9.15,8.20
11.20,9.70
10.50,10.30
9.70,10.20
8.90,8.90
10.10,9.60
8.90,7.85
9.60,9.60
8.50,9.80
10.08,8.80
9.45,9.00
8.31,9.10
9.80,9.20
9.70,8.80
10.38,9.20
10.61,8.80
8.38,9.40
10.78,8.30
11.01,8.40
10.68,10.20
8.78,9.30
10.28,10.20
10.86,10.50
11.21,9.00
9.48,9.80
9.31,9.30
9.86,7.60
9.28,10.50
9.85,9.70
10.00,8.60
