Survivor,Nonsurvivor
18.00,14.50
14.00,13.50
18.00,16.44
17.50,18.54
15.00,17.44
18.00,16.34
14.50,15.74
15.00,16.84
14.50,15.54
15.00,17.50
16.24,15.00
17.34,17.00
17.09,15.00
17.64,15.00
17.24,15.00
18.04,16.50
15.84,13.00
15.24,16.00
16.14,13.50
20.19,16.00
16.24,14.00
21.24,15.00
17.44,19.00
16.94,17.00
14.74,15.00
17.34,16.50
15.54,14.75
19.00,16.00
15.40,17.00
16.34,15.00
15.41,16.00
15.37,14.50
17.50,17.00
16.50,16.00
17.94,17.00
21.22,14.50
17.04,15.50
17.74,14.50
18.87,15.50
18.44,16.50
15.14,14.00
17.84,15.50
19.63,16.50
20.82,14.00
16.64,16.00
16.67,14.00
18.07,15.50
15.60,18.50
17.55,17.00
15.00,14.00
