Survivor,Nonsurvivor
20.20,18.00
19.10,18.30
20.20,18.47
20.70,19.27
19.00,19.27
19.00,20.27
18.00,17.57
18.60,18.17
19.60,18.57
19.30,20.00
18.47,18.40
20.57,19.90
19.32,19.10
20.57,18.40
18.87,18.00
19.77,20.10
20.07,17.60
20.17,19.60
19.07,18.40
19.32,18.50
17.97,17.90
19.47,19.80
20.07,19.40
19.27,20.10
18.27,20.00
19.07,18.50
18.07,17.05
20.00,19.60
19.50,20.00
18.96,19.60
18.26,19.00
19.41,18.90
20.30,18.60
18.20,19.00
18.76,20.00
21.01,19.10
18.46,20.30
19.16,19.10
20.16,18.20
20.06,20.00
17.86,18.80
19.16,19.90
20.81,19.60
19.86,18.80
18.16,18.90
19.21,18.00
21.06,18.50
18.36,20.50
19.55,20.00
19.00,18.90
