Survivor,Nonsurvivor
71.00,67.00
67.00,66.00
70.00,64.19
68.00,67.19
67.00,70.19
72.00,71.19
67.00,67.19
65.00,68.19
65.00,68.19
66.00,70.00
68.19,67.00
70.19,70.00
68.19,66.00
72.19,66.00
71.19,67.00
72.19,67.00
68.19,64.00
65.19,71.00
66.19,65.00
72.69,69.00
67.69,65.00
72.19,65.00
72.19,70.00
70.19,72.00
65.19,68.00
69.19,68.90
68.19,64.20
70.00,73.00
66.00,68.00
68.01,68.00
72.94,68.00
67.95,65.00
67.00,69.00
71.00,70.00
71.01,70.00
71.45,66.00
68.01,67.00
71.01,67.00
71.95,66.00
74.01,70.00
70.01,66.00
71.01,71.00
70.41,69.00
70.45,66.00
69.01,66.00
69.45,65.00
70.95,67.00
69.47,70.00
67.50,72.00
69.00,66.00
